tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-reproductive-condition,animal-sex,animal-taxon-detail,attachment-type,deploy-off-latitude,deploy-off-longitude,deploy-on-latitude,deploy-on-longitude,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-beacon-frequency,tag-manufacturer-name,tag-model,tag-serial-no
car019,HR_car019,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,54.85556096,-122.1341847,54.98381808,-122.3044319,EJ/DH/GW,Captured cow and calf in net. Didn't do backfat surgery as animal seemed to have no fat and protruding bones.,,dead,car019_car019_2,none,Hart Ranges,151.95,Televilt,GPS,
car012,QU_car012,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.12647647,-121.3860704,EJ/DH/GW,"At least 15 animals, saw at least one calf in group. Estimated backfat from surgery. Cow is quite skinny with a big pot belly.",,removal,car012_car012_2,none,Quintette,151.88,Televilt,GPS,
car030,HR_car030,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf:,f,caribou,collar,,,54.85115599,-122.1327371,EJ/DH/GW,Estimated backfat from surgery.,,removal,car030_car030,none,Hart Ranges,148.41,ATS,GPS,
car031,QU_car031,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf: N,f,caribou,collar,,,54.98549849,-121.259696,EJ/DH/GW,Estimated backfat from surgery.  10.0mm minimum estimate as Doug didn't want to insert scalpel too deep.,,removal,car031_car031,none,Quintette,148.367,ATS,GPS,
car033,HR_car033,Rangifer tarandus,00:00.0,,,,pregnant: Yes; with calf: Y,f,caribou,collar,,,54.70054251,-122.1057086,EJ/TH/GW,Cow quite skinny. Tons of tracks and alectoria abundant.,Not Monitored,other,car033_car033,none,Hart Ranges,148.34,,VHF,
car032,BP_car032,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: No; with calf: Y,f,caribou,collar,,,55.33570437,-122.1111803,EJ/TH/GW,"About 20 caribou on ridgeline, 1 bull in group.",,removal,car032_car032,none,Burnt Pine,148.39,ATS,GPS,
car016,HR_car016,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf:,f,caribou,collar,54.82947471,-122.3373969,54.77496809,-122.2699003,EJ/DH/GW,Recovered non-working green GPS collar. Cow very skinny.,,dead,car016_car016_2,none,Hart Ranges,151.319,Televilt,GPS,
car034,HR_car034,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown.  Suspected predation,,with calf: Y,f,caribou,collar,54.66060358,-121.9093894,54.66469339,-121.7687606,EJ/GW/DH,"2 cows, 2 yearlings.",,dead,car034_car034,none,Hart Ranges,148.65,,VHF,
car035,QU_car035,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown,,pregnant: Yes; with calf: N,f,caribou,collar,54.97576635,-121.3467766,54.91831093,-121.418614,EJ/BC,Doug spun blood.,,dead,car035_car035,none,Quintette,148.46,,VHF,
car039,KE_car039,Rangifer tarandus,00:00.0,,,,pregnant: Yes; with calf: N,f,caribou,collar,,,55.24859698,-122.6126612,EJ/GW/BB,,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,other,car039_car039,none,Kennedy,150.986,,VHF,
