"location.long","location.lat","comments","tag.local.identifier","animal.id","animal.sex","animal.reproductive.condition","tag.manufacturer.name","tag.model","date_time","year","month","day","hour","minute"
-123.4154878,55.8698461,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-11-26 18:02:00,2013,11,26,18,2
-123.4154558,55.84589156,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-02-06 18:02:00,2015,2,6,18,2
-123.4150618,55.77140465,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-19 17:00:26,2012,12,19,17,0
-123.414992,55.86981183,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-11-25 10:01:00,2013,11,25,10,1
-123.4149646,55.77126121,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-19 10:00:26,2012,12,19,10,0
-123.4149603,55.86982991,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-25 10:01:00,2013,11,25,10,1
-123.4149546,55.84381766,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-02-08 02:02:00,2015,2,8,2,2
-123.4145644,55.86867215,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-29 18:01:00,2013,11,29,18,1
-123.4145036,55.77589023,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-10-21 18:01:00,2014,10,21,18,1
-123.4144878,55.77589927,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-10-21 18:01:00,2014,10,21,18,1
-123.4141814,55.8702189,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-08-02 18:01:00,2014,8,2,18,1
-123.4138989,55.86619447,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-12-05 18:01:00,2013,12,5,18,1
-123.413852,55.86780298,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-12-05 02:01:00,2013,12,5,2,1
-123.4136123,55.86629427,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-12-05 18:01:00,2013,12,5,18,1
-123.4134235,55.8695835,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-29 02:01:00,2013,11,29,2,1
-123.413223,55.86875753,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-11-25 18:02:00,2013,11,25,18,2
-123.4130192,55.75309933,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-21 04:00:26,2012,12,21,4,0
-123.4129854,55.868956,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-30 18:01:00,2013,11,30,18,1
-123.4129092,55.86930668,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-08-02 10:02:00,2014,8,2,10,2
-123.4128881,55.87033107,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-07-15 10:01:00,2014,7,15,10,1
-123.4126241,55.86804072,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-12-09 10:01:00,2013,12,9,10,1
-123.4124726,55.66955441,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-20 20:00:53,2012,11,20,20,0
-123.4120818,55.86813239,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-12-09 10:01:00,2013,12,9,10,1
-123.411494,55.75653686,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-20 00:00:23,2012,12,20,0,0
-123.4114074,55.75588122,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-20 07:00:43,2012,12,20,7,0
-123.4110776,55.8502102,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-02-04 18:02:00,2015,2,4,18,2
-123.4105606,55.67371213,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-08 22:00:41,2012,12,8,22,0
-123.4086635,55.84695659,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-02-03 02:04:00,2015,2,3,2,4
-123.4083255,55.8634636,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-08 18:00:44,2013,3,8,18,0
-123.4078336,55.86530721,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-13 17:00:44,2013,3,13,17,0
-123.4072027,55.86762748,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-07-15 02:01:00,2014,7,15,2,1
-123.406824,55.865032,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-09 22:00:25,2013,3,9,22,0
-123.4067879,55.86463677,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-09 08:00:41,2013,3,9,8,0
-123.4064537,55.86476367,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-09 15:00:26,2013,3,9,15,0
-123.4060112,55.86523236,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-11 02:00:26,2013,3,11,2,0
-123.4056742,55.86508971,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-12 20:00:50,2013,3,12,20,0
-123.4055356,55.77352105,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-06-07 18:02:00,2013,6,7,18,2
-123.4054788,55.86473993,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-09 01:00:26,2013,3,9,1,0
-123.4046481,55.86476063,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-07 21:00:42,2013,3,7,21,0
-123.4043828,55.86536352,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-11 09:00:47,2013,3,11,9,0
-123.4035792,55.86491689,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-04 16:00:26,2013,3,4,16,0
-123.403396,55.77472314,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-06-02 18:01:00,2013,6,2,18,1
-123.4033653,55.77792203,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-06-02 10:03:00,2013,6,2,10,3
-123.4029923,55.86533214,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-02 22:00:43,2013,3,2,22,0
-123.4028961,55.86529651,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-12 06:00:44,2013,3,12,6,0
-123.4028466,55.86514392,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-02 15:00:43,2013,3,2,15,0
-123.4023638,55.83853121,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-20 03:00:53,2013,2,20,3,0
-123.4017698,55.66615744,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-20 06:00:44,2012,11,20,6,0
-123.4011699,55.83888553,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-20 10:00:43,2013,2,20,10,0
-123.4005917,55.8370095,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-18 02:00:42,2013,2,18,2,0
