event.id,timestamp,location.long,location.lat,DOP,FixType,comments,study.specific.measurement,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name,date
2269831795,00:42.0,-123.3926175,55.86802529,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:42.0
2269831796,00:26.0,-123.3987255,55.86683758,3,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831797,00:26.0,-123.399183,55.86626104,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831798,00:43.0,-123.4028466,55.86514392,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831799,00:43.0,-123.4029923,55.86533214,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831800,00:25.0,-123.4047652,55.86526342,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831801,00:43.0,-123.4057542,55.86509843,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831802,00:47.0,-123.4037735,55.86515886,2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:47.0
2269831803,00:43.0,-123.403661,55.86509633,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831804,00:43.0,-123.4046512,55.86505714,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831805,00:26.0,-123.4035792,55.86491689,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831806,00:26.0,-123.4031191,55.86523288,2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831807,00:26.0,-123.4037269,55.86529379,2.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831808,01:11.0,-123.4054197,55.86519837,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:11.0
2269831809,00:50.0,-123.4062938,55.86474623,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:50.0
2269831810,00:25.0,-123.3907376,55.86541657,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831811,00:43.0,-123.3945014,55.86785753,2.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831812,00:43.0,-123.3984194,55.86659597,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831813,00:44.0,-123.4007939,55.86597726,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831814,00:42.0,-123.3991176,55.86611749,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:42.0
